designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc
Gaia DR3 5809725265425979776,1,35,268.0105716,268.0105716,-71.69022101,-71.69022101,2.155254,0.299011,269.0614307,-48.25742167,3.714195477,-0.59196191,-17.51267176,0.008632532,0.010868591,0.014021129,0.011106239,0.013714748,21.07386398,0.338059336,2016,7625.258789,17.56309891,5.238173008,0.000078,1.681885,1.752969,1.809652,7825.83,8040.9,8182.54,4.207343,4.240838,4.260154,-0.017479,0.094182,0.213727,0.26455,0.265353,0.267335,0.26833,0.269375,-0.036193,-0.023344,0.048861,0.129861,0.209459,1,-8.003732,-0.153688,-0.096574,8.005207,-0.007651329,0.0447,0.053093,0.030286,6.05E-08,0.022807,2.158386,0.336373
Gaia DR3 5945283676068152704,1,36,267.1231015,267.1231015,-51.91737304,-51.91737304,2.107569,0.406111,267.9813256,-28.49824965,2.477782519,-5.111274271,-0.247010307,0.01407963,0.012473693,0.018427914,0.016948676,0.013723423,,,2016,7664.748047,,,0.000023,1.546924,1.636886,1.851522,7176.67,7271.96,7746.01,4.013805,4.061848,4.120928,-0.134495,0.073299,0.370237,0.389392,0.392095,0.399078,0.402099,0.405078,-0.016663,0.106252,0.178329,0.414456,0.516883,1,-7.832612,-0.131392,-0.08382,7.833715,-0.005637169,0.15956,0.191489,0.109908,0.000000158,0.081581,2.155254,0.335075
Gaia DR3 5916002581902520064,1,37,257.6186412,257.6186412,-58.00499263,-58.00499263,2.771185,0.480394,262.0370161,-34.90747551,6.731937641,-21.08869162,-34.79746697,0.014729735,0.011763943,0.019054824,0.015406823,0.013607152,-5.6022186,0.43766195,2016,6787.761,55.971577,3.6572511,0.000181,1.315337,1.445721,1.587052,7032.2,7067.9,7444.02,4.157661,4.195753,4.260975,-0.332126,-0.018675,0.197551,0.147057,0.147631,0.148343,0.148724,0.148841,0.052082,0.06222,0.094184,0.303722,0.362405,1,-8.07115,-0.068154,-0.027538,8.071438,-0.004362702,0.084088,0.101004,0.05803,0.0000265,0.042974,2.154593,0.325845
Gaia DR3 5929795130680852608,1,38,253.2441663,253.2441663,-54.16279076,-54.16279076,1.892362,0.505329,258.5963372,-31.38484258,4.45736226,-6.357472811,-19.8299653,0.012681678,0.009172644,0.01587857,0.016770856,0.013110064,1.6148572,0.50207365,2016,,18.518478,8.2033,0.000093,1.470071,1.594433,1.845388,6660.4,6884.95,7360.76,3.806,3.842,3.897093,-0.438414,-0.429621,0.384174,0.220618,0.221608,0.222042,0.223935,0.224803,0.044562,0.185013,0.278184,0.546996,0.606656,1,-8.002123,-0.097606,-0.024904,8.002719,-0.001083732,0.245787,0.296735,0.170888,0.0000822,0.125847,2.127192,0.324641
Gaia DR3 5937968144203126016,1,39,251.0477054,251.0477054,-48.65510786,-48.65510786,2.403373,0.471911,256.1752702,-26.1213649,3.649485482,-0.361806812,-17.09597511,0.016321622,0.010775466,0.018871352,0.021018155,0.014440571,,,2016,7077.136,,,0.000076,1.323401,1.590647,1.612847,6829.77,6970.67,7203.1,3.999899,4.08001,4.09276,-0.437429,0.168771,0.274311,0.268372,0.269548,0.271685,0.272945,0.276076,0.111772,0.129417,0.23987,0.293393,0.441493,1,-7.949855,-0.105654,-0.008808,7.950557,-0.002871752,0.212642,0.256311,0.147485,0.0000565,0.108826,2.115408,0.321784
Gaia DR3 4339177971358491264,1,40,250.0124267,250.0124267,-7.624859392,-7.624859392,2.270417,0.355245,249.5254851,14.40503036,1.379605386,-9.115204069,-5.537401507,0.011186037,0.006186667,0.013834501,0.016930167,0.011488989,-14.609753,4.2369533,2016,,5.4523463,11.9947195,0.000047,1.391539,1.619043,1.835378,6920.69,7384.66,8582.67,4.061858,4.117876,4.231386,-0.43414,-0.030635,0.088881,0.692658,0.702169,0.705629,0.718362,0.727008,0.47611,0.502557,0.808772,1.290569,1.521028,1,-7.567502,0.104309,0.294923,7.568221,-0.004684806,0.710893,0.860947,0.495547,0.000169,0.3654,2.110322,0.320996
Gaia DR3 4325705109925554432,1,41,247.4144533,247.4144533,-14.58506265,-14.58506265,1.465229,0.205681,248.0006921,7.145956352,4.420400247,-6.058660329,-1.367710612,0.015432424,0.008329264,0.018469911,0.020198893,0.013732221,,,2016,6972.600098,,,0.000028,1.714042,2.003938,2.597509,7568.29,8474.31,11373.79,3.991491,4.092391,4.303458,-0.21018,-0.012017,0.12092,0.221327,0.222726,0.224105,0.225648,0.227155,0.479223,0.616366,0.920274,1.442145,1.528017,1,-7.993219,0.005765,0.086206,7.993221,-0.002421141,0.825958,0.990925,0.566673,0.000000142,0.424252,2.109881,0.318728
Gaia DR3 6052146929146448000,1,42,246.350426,246.350426,-21.68863328,-21.68863328,3.278831,0.67326,248.1151091,-0.028192069,7.330633352,-5.533566041,-22.97094713,0.016423417,0.009908259,0.018936371,0.023277003,0.017056353,,,2016,,,,0.000105,0.863077,0.875,1.037724,5908.8,5967.6,6145.7,3.865,3.870432,3.944,-0.992711,-0.863583,-0.472666,0.134513,0.134749,0.135376,0.13567,0.136967,-0.061803,0.077864,0.11929,0.213557,0.438969,1,-8.072381,-0.011048,0.043794,8.072389,0.010532618,0.103504,0.125994,0.072997,0.000000185,0.052997,2.107569,0.313916
Gaia DR3 6039918435708377472,1,43,240.4342035,240.4342035,-30.9158086,-30.9158086,1.624705,0.335075,244.537579,-10.05281145,3.145772366,-9.89893311,-5.511183206,0.094462544,0.06209838,0.11749113,0.13590805,0.08992695,,,2016,6794.151,,,0.00005,1.832674,1.928123,2.809811,7565.23,7976.05,12099.76,4.052351,4.09422,4.349358,-0.333194,0.004802,0.300644,0.276871,0.285237,0.297124,0.335755,0.358734,0.247975,0.257991,0.459732,1.189471,1.289789,1,-7.925581,-0.077553,0.083442,7.925961,-0.009382486,0.414307,0.495782,0.283651,0.000109,0.212131,2.095588,0.311457
Gaia DR3 6258378305082833408,1,44,232.3944414,232.3944414,-17.44090558,-17.44090558,2.077215,0.306345,234.3833312,1.47002099,12.61222587,-68.38701631,7.36374349,0.027030369,0.027802233,0.03339627,0.03504993,0.031382497,,,2016,7543.402832,,,0.000306,1.612164,1.749901,1.833331,7751.71,7981.38,8129.87,4.164103,4.202044,4.22502,-0.226736,0.184407,0.386422,0.07833,0.07849,0.078795,0.079321,0.079572,-0.016914,0.002295,0.10849,0.14699,0.202171,1,-8.13404,-0.013816,0.040829,8.134051,-0.005391479,0.098922,0.117684,0.067183,0.000000254,0.050501,2.094425,0.309302
