designation,num,id,ra,RA_ICRS,dec,DE_ICRS,GMAG0,BP-RP0,ecl_lon,ecl_lat,parallax,pmra,pmdec,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,radial_velocity,radial_velocity_error,ref_epoch,teff_gspphot,vbroad,vbroad_error,_r,mass16,mass50,mass84,teff16,teff50,teff84,logg16,logg50,logg84,met16,met50,met84,dist05,dist16,dist50,dist84,dist95,AV05,AV16,AV50,AV84,AV95,fidelity,XGal,YGal,ZGal,RGal,BP/RPCorr,AG50,ABP50,ARP50,Separation,AB50-AR50,GMAG0-desc,BP-RP0-desc
Gaia DR3 3971288252651931648,1,55,167.7245517,167.7245517,17.06312296,17.06312296,2.406042,0.473944,162.0176007,10.85726757,4.377298227,-21.83714546,-17.98350433,0.016826477,0.013856009,0.017427547,0.020204475,0.015195221,,,2016,6549.417,,,0.000126,1.42791,1.46,1.547143,6824.32,6851.73,7020.48,3.99793,4.005,4.035,-0.133014,-0.133014,-0.025413,0.224924,0.227122,0.227197,0.228747,0.228914,0.086856,0.17595,0.201632,0.280452,0.29731,1,-8.260942,-0.075609,0.205397,8.261289,0.00044,0.178446,0.215247,0.123937,0.000093,0.09131,1.892362,0.263379
Gaia DR3 3536192161305491200,1,56,166.391823,166.391823,-25.01922181,-25.01922181,1.545419,0.321784,178.2192749,-28.21821949,2.862788949,-5.218652553,3.245255064,0.016143575,0.017169049,0.021852974,0.020747134,0.023016108,,,2016,7564.768,,,0.000027,1.826156,1.987052,2.044684,7693.71,7997.86,8116.76,4.005345,4.038072,4.056087,-0.010969,0.282425,0.29942,0.336047,0.337717,0.345006,0.351739,0.354698,0.1218,0.21686,0.291017,0.379109,0.50361,1,-8.176976,-0.291851,0.182543,8.182182,-0.007534981,0.263853,0.314792,0.17989,0.000134,0.134902,1.888852,0.252309
Gaia DR3 5391215302686287744,1,57,160.0357211,160.0357211,-43.08072715,-43.08072715,1.700979,0.311457,183.5750321,-46.54076949,3.728879819,-12.4300635,-6.429930878,0.009341149,0.011337575,0.015196356,0.011995488,0.014274353,,,2016,7589.4224,,,0.000062,1.753748,1.921392,2.04476,7845.67,7954.64,8394.39,4.061544,4.089548,4.139532,-0.13582,0.282833,0.384281,0.261794,0.263162,0.266627,0.26746,0.26838,0.047338,0.060267,0.08363,0.245609,0.313565,1,-8.159919,-0.256054,0.062606,8.163936,-0.008236051,0.07627,0.090724,0.051794,0.0000466,0.03893,1.886874,0.245826
Gaia DR3 5406768753667504512,1,58,152.8076488,152.8076488,-49.67628319,-49.67628319,1.688862,0.216629,183.1774983,-54.79721886,2.573586456,0.056056241,6.138815384,0.011038463,0.012061286,0.014621306,0.014870072,0.01427354,,,2016,,,,0.000027,1.7484,1.764744,1.968765,7962.8,8061.85,8423.94,4.055479,4.066017,4.132468,-0.134392,-0.028963,0.197851,0.37967,0.380946,0.386208,0.387592,0.390056,0.01607,0.075049,0.121719,0.252803,0.425893,1,-8.145091,-0.380587,0.035995,8.153977,-0.004714251,0.111138,0.132136,0.075398,0.000000156,0.056738,1.886769,0.243186
Gaia DR3 5257642094689491072,1,59,148.7224866,148.7224866,-58.69586468,-58.69586468,2.211955,0.263379,191.7506528,-63.02692116,4.14659157,-12.84315919,16.14079174,0.011419212,0.011110411,0.013382552,0.015382663,0.014108096,,,2016,7551.851074,,,0.000092,1.588568,1.661687,1.778116,7549.34,7819.69,8376.06,4.161439,4.199511,4.237183,-0.314262,-0.014802,0.193184,0.237118,0.237932,0.238962,0.240782,0.241738,0.13792,0.165597,0.262166,0.482418,0.538747,1,-8.151693,-0.233622,-0.013796,8.155041,-0.001958847,0.236954,0.283091,0.161943,0.000000154,0.121148,1.87922,0.242701
Gaia DR3 5202593430105432320,1,60,147.2866692,147.2866692,-78.28189785,-78.28189785,-0.90786,-0.146381,239.3858081,-70.39375701,2.160059504,-14.68772009,8.477067133,0.023722552,0.02406245,0.025826283,0.030244192,0.028121036,,,2016,,,,0.000075,3.489557,3.784779,4.183197,12050.18,12465.21,14386.18,3.757645,3.795464,3.888596,-0.310622,-0.184857,0.224906,0.437002,0.445953,0.449998,0.462728,0.470311,0.280349,0.359221,0.375279,0.500863,0.586989,1,-8.025734,-0.389101,-0.143978,8.03516,0.011156201,0.370202,0.425552,0.236942,0.0000276,0.18861,1.869082,0.236783
Gaia DR3 5632782267915076736,1,61,145.3931492,145.3931492,-29.3736968,-29.3736968,1.532148,0.23636,160.1471213,-40.3081997,2.955729333,-24.71521203,6.696737771,0.010103568,0.01046171,0.015517804,0.016233731,0.011149295,,,2016,7623.224609,,,0.000114,1.677602,1.695666,2.01438,7873.09,7926.82,8578.73,3.954117,3.968741,4.060146,-0.413222,-0.320669,0.177374,0.329568,0.332103,0.335526,0.336136,0.338043,0.025276,0.229106,0.242758,0.480705,0.755432,1,-8.25221,-0.315716,0.100873,8.258246,-0.003619552,0.220093,0.262568,0.150075,0.000000155,0.112493,1.84074,0.23636
Gaia DR3 5410092611674819840,1,62,144.1058846,144.1058846,-48.75126167,-48.75126167,1.823827,0.231723,174.0583059,-57.51974654,14.00887961,-8.163841564,-18.85033644,0.023956474,0.023267731,0.028297136,0.030608317,0.030151647,,,2016,7618.288086,,,0.000091,1.547,1.547,1.671776,7659.49,7659.49,8020.44,3.974,3.978695,4.021625,-0.432922,-0.432922,-0.22489,0.070726,0.070846,0.071342,0.071358,0.071656,0.110469,0.140839,0.142532,0.316514,0.379544,1,-8.196044,-0.071163,0.003142,8.196353,-0.000727,0.128854,0.1539,0.088073,0.000000138,0.065827,1.823827,0.234519
Gaia DR3 5679637887211461376,1,63,139.6045313,139.6045313,-20.37136447,-20.37136447,2.115408,0.196527,149.5969075,-34.12769441,7.393013774,50.69178523,-40.96635372,0.02326172,0.017257577,0.030428393,0.02672128,0.019034572,,,2016,8081.050781,,,0.00029,1.623523,1.726514,1.794337,8232.77,8308.86,8786.31,4.234649,4.26991,4.299264,-0.230385,-0.113201,0.092135,0.133501,0.133992,0.13478,0.135367,0.136301,-0.031812,0.016032,0.046573,0.19538,0.264304,1,-8.243539,-0.119017,0.045881,8.244398,-0.005475164,0.042869,0.050777,0.028911,9.89E-08,0.021866,1.820855,0.231723
Gaia DR3 5704085627039332864,1,64,133.0074909,133.0074909,-20.22912008,-20.22912008,1.969553,0.300418,142.449823,-36.16981097,3.017580402,-5.154241226,-1.627795226,0.012561872,0.008592195,0.016817406,0.015369043,0.013352345,,,2016,,,,0.000024,1.609918,1.792998,1.900323,7598.26,7857.77,8141.86,4.086719,4.149877,4.179349,-0.238435,0.179745,0.377618,0.323586,0.325938,0.327158,0.331809,0.333279,0.190114,0.438964,0.543911,0.643049,0.743277,1,-8.329847,-0.287818,0.085632,8.334819,-0.004615665,0.487506,0.584904,0.335076,7.93E-08,0.249828,1.818072,0.228953
Gaia DR3 5525888228505606144,1,65,132.1787007,132.1787007,-39.23365599,-39.23365599,1.670991,0.245826,152.1277598,-53.96106182,9.050166744,-32.84817849,48.65501313,0.012112062,0.015046448,0.016960051,0.015227408,0.017282706,,,2016,7327.279785,,,0.000261,1.537042,1.685,1.699,7592.77,7785.74,7902.72,3.934,3.978,3.984,-0.624941,-0.22494,-0.118812,0.109243,0.109601,0.109713,0.109926,0.110731,0.018147,0.12625,0.246957,0.282428,0.323585,1,-8.2183,-0.108042,0.005394,8.21901,0.000844,0.223145,0.266621,0.152543,0.000000148,0.114078,1.772569,0.221064
Gaia DR3 5721586798437207296,1,66,123.6206064,123.6206064,-15.77539461,-15.77539461,2.154593,0.37273,130.3545132,-34.62442907,3.757779502,-21.08152872,4.118545711,0.013232015,0.012157038,0.018167904,0.018643592,0.016282769,,,2016,7111.6626,,,0.000095,1.595692,1.658643,1.731844,7300.15,7503.38,7675.43,4.088921,4.112538,4.133979,-0.116039,0.076414,0.278616,0.261016,0.261999,0.2649,0.266299,0.267356,-0.01931,0.118185,0.217445,0.286747,0.329331,1,-8.342822,-0.217966,0.047583,8.345669,-0.006541491,0.19538,0.234037,0.13414,0.0000373,0.099897,1.765366,0.216629
Gaia DR3 3152456109221642112,1,67,117.7975419,117.7975419,13.74173966,13.74173966,1.772569,0.141791,117.1624861,-7.114804057,4.232853347,-13.47120341,-2.284323432,0.019430144,0.012201178,0.020623947,0.021104285,0.01219038,,,2016,,,,0.000061,1.739948,1.823207,1.982095,8276.46,8502.35,9019.16,4.146675,4.195034,4.23688,-0.327397,-0.093573,0.197923,0.231568,0.23211,0.234294,0.236847,0.237947,-0.06718,0.0198,0.089463,0.218371,0.321365,1,-8.396948,-0.100424,0.077591,8.397549,-0.003463149,0.082584,0.097697,0.055569,0.0000164,0.042128,1.758236,0.209496
Gaia DR3 5288096299004888704,1,68,115.7395632,115.7395632,-63.70192928,-63.70192928,2.553139,0.309302,177.1607388,-78.89305221,4.545515181,4.097464778,17.45979634,0.081722774,0.075706854,0.082495973,0.148032248,0.100968674,22.91996765,1.104133844,2016,7337.105469,,,0.00008,1.426402,1.482996,1.585072,7271.12,7579.1,7989.91,4.207582,4.222108,4.26943,-0.509514,-0.13396,-0.005688,0.210056,0.212313,0.216703,0.218854,0.230063,-0.002169,0.012677,0.1557,0.337763,0.408299,1,-8.179252,-0.204191,-0.069539,8.1818,0.000844,0.140434,0.167912,0.096153,5.96E-08,0.071759,1.75418,0.207037
Gaia DR3 5537028063697055232,1,69,114.6136792,114.6136792,-39.69285639,-39.69285639,0.359615,-0.131542,129.5720804,-59.79598886,2.483241261,-6.892600191,5.378504421,0.020567048,0.024186961,0.024829904,0.029590685,0.0321852,,,2016,,,,0.000039,2.743287,2.935265,3.357105,11272.63,12189.49,13963.82,4.109623,4.174793,4.281414,-0.407398,-0.208566,0.197323,0.38648,0.391029,0.396734,0.405272,0.410626,0.057536,0.110778,0.190844,0.310021,0.373141,1,-8.31284,-0.375556,-0.060191,8.32132,0.007590056,0.188607,0.216559,0.120575,0.0000615,0.095984,1.736549,0.205681
Gaia DR3 5486011553099475200,1,70,112.7373538,112.7373538,-57.99106667,-57.99106667,1.758236,0.207037,151.503535,-76.51969072,4.077014406,-11.80822912,24.91759179,0.01286099,0.01396261,0.013609448,0.017172737,0.018237446,,,2016,7774.57666,,,0.000123,1.529106,1.824255,1.932475,7806.59,8035,8470.84,4.0171,4.097983,4.122518,-0.516999,-0.027386,0.286285,0.241586,0.242013,0.242919,0.24463,0.244969,0.061743,0.112274,0.200882,0.371671,0.498034,1,-8.201328,-0.231284,-0.074268,8.204589,-0.001859903,0.182828,0.217716,0.124315,0.0000001,0.093401,1.718596,0.199502
Gaia DR3 5491664348536447744,1,71,109.1759302,109.1759302,-53.43694852,-53.43694852,2.19825,0.474245,134.8455648,-73.89068433,4.01474116,-10.12525398,6.366767704,0.013335241,0.012960561,0.014153783,0.017003236,0.01500766,16.82529449,0.68313998,2016,7089.685059,15.5837698,3.973137856,0.000053,1.672486,1.754537,1.832885,7526.29,7618.03,7887.78,4.160786,4.192253,4.216895,-0.013437,0.293879,0.411185,0.245326,0.246293,0.248069,0.249222,0.249638,-0.003956,0.001128,0.013563,0.123585,0.250444,1,-8.222844,-0.234908,-0.076385,8.226199,-0.016821146,0.012302,0.014668,0.00839,0.000000189,0.006278,1.700979,0.196527
Gaia DR3 3051821005392580992,1,72,108.6087184,108.6087184,-7.577018847,-7.577018847,2.372011,0.302377,111.3440429,-29.64783479,4.757767361,-10.69954011,-3.87514914,0.01411994,0.013590005,0.01674561,0.01660271,0.014607145,,,2016,7907.997559,,,0.000051,1.477026,1.659224,1.715064,7721.64,7849.95,8322.38,4.203593,4.279122,4.290633,-0.330426,0.000604,0.10384,0.206895,0.208032,0.209012,0.210436,0.212091,-0.052099,-0.026592,0.027089,0.203621,0.317199,1,-8.354541,-0.140599,0.005905,8.355724,-0.0050596,0.024691,0.029375,0.016777,0.000000162,0.012598,1.699449,0.169605
Gaia DR3 3108688640134891648,1,73,105.1002449,105.1002449,-3.011192715,-3.011192715,-1.485063,-0.085556,106.7627603,-25.57602625,1.003367709,1.006059662,-1.349362503,0.026037604,0.027332298,0.032019611,0.030553566,0.027613956,6.857038021,3.650198936,2016,9999.313477,,,0.000007,3.742931,3.817822,4.174787,9982.84,10342.15,11872.16,3.418484,3.430455,3.577726,-0.078678,0.228153,0.410506,0.872207,0.907063,0.9783,1.029448,1.047126,0.143262,0.147787,0.193822,0.330888,0.451967,1,-8.985009,-0.583712,0.010562,9.00395,0.005509377,0.185207,0.21579,0.121408,0.000000139,0.094382,1.688862,0.163139
Gaia DR3 5608296625002735488,1,74,103.7909371,103.7909371,-30.06222393,-30.06222393,2.364781,0.38068,109.8366436,-52.55599284,2.520236566,-7.931030346,-2.536214349,0.008767732,0.01085097,0.012793556,0.012490791,0.015328527,-4.7096634,1.1434023,2016,7570.846,26.224747,8.4009075,0.000037,1.598313,1.673064,1.745595,7422.35,7549.38,7870.66,4.196238,4.21701,4.239499,-0.023939,0.196421,0.306743,0.386665,0.387998,0.39263,0.39568,0.398138,-0.053723,-0.016194,0.067593,0.20318,0.268331,1,-8.388642,-0.333747,-0.084768,8.395279,-0.008595586,0.0611,0.072972,0.041774,0.000149,0.031198,1.670991,0.158848
Gaia DR3 5569272208551498368,1,75,98.93746814,98.93746814,-43.07472335,-43.07472335,1.699449,0.320996,106.2086986,-66.01186096,3.14616627,-13.81752274,3.233791908,0.012791625,0.013999609,0.014599558,0.016126394,0.01704058,,,2016,7501.9893,,,0.000063,1.790758,1.813655,1.912,7566.59,7648.47,7854.16,4.007544,4.025608,4.048,-0.019348,0.082515,0.392604,0.31005,0.311357,0.315014,0.315745,0.31846,0.011427,0.056087,0.136009,0.221006,0.417267,1,-8.292489,-0.279484,-0.112107,8.297197,-0.004056573,0.122952,0.146853,0.084043,0.00000767,0.06281,1.624705,0.154605
Gaia DR3 5575085876283450368,1,76,96.79711851,96.79711851,-37.10197529,-37.10197529,1.818072,0.097117,100.9772125,-60.28250785,5.784440245,-19.08978952,13.8045566,0.08389874,0.09891541,0.10762144,0.11242418,0.1298249,,,2016,8280.085,,,0.000105,1.547657,1.835417,1.972893,8042.79,8643.7,9452.38,4.129815,4.20343,4.258767,-0.515355,-0.204667,0.013073,0.161673,0.166134,0.173286,0.179344,0.183135,-0.118288,0.003658,0.164497,0.381635,0.441626,1,-8.268392,-0.147212,-0.060655,8.269702,0.000607,0.151939,0.179717,0.102176,0.0000169,0.077541,1.574696,0.14744
Gaia DR3 2992781354145083136,1,77,92.8406334,92.8406334,-15.79314348,-15.79314348,1.172954,0.243186,93.52790662,-39.19764318,7.759706393,-0.117972516,-18.77058338,0.01748146,0.022094637,0.030760543,0.024040375,0.026384076,,,2016,7727.5146,,,0.000083,1.916858,2.065192,2.159,7923.19,7953.79,8352.97,3.882466,3.909904,3.936,-0.213823,0.1904,0.195188,0.126,0.127828,0.127858,0.129065,0.13011,0.049159,0.049861,0.053392,0.260055,0.299846,1,-8.290157,-0.083667,-0.034917,8.29058,-0.001752138,0.048741,0.057949,0.033077,0.00000991,0.024872,1.545419,0.146534
Gaia DR3 5278537488513876352,1,78,92.12206031,92.12206031,-71.11992356,-71.11992356,1.87922,0.140199,261.4494394,-85.37760519,4.175234998,3.437285143,10.01561656,0.026107151,0.025691805,0.027454909,0.038088143,0.0303238,,,2016,7970.1084,,,0.000047,1.618918,1.776391,1.971398,8212.95,8520.78,9258.15,4.17563,4.216743,4.300304,-0.411697,-0.099637,0.101161,0.233653,0.235192,0.238808,0.240858,0.241803,0.027936,0.098882,0.198907,0.373826,0.533791,1,-8.157965,-0.204552,-0.115847,8.160529,-0.003282428,0.183018,0.216865,0.123424,0.0000163,0.093441,1.532148,0.143338
Gaia DR3 3218275383519669888,1,79,87.10618062,87.10618062,-0.759617557,-0.759617557,2.095588,0.356288,86.82821377,-24.16704287,9.134149617,-19.48882502,-0.772142743,0.019624339,0.018264748,0.024377188,0.02378089,0.019634644,,,2016,7500.992676,,,0.000087,1.655409,1.797146,1.861833,7663.53,7706.53,7926.98,4.136144,4.179328,4.201305,-0.023494,0.216986,0.48387,0.108347,0.108671,0.109205,0.109679,0.110073,-0.024616,0.007282,0.04323,0.123591,0.227071,1,-8.294855,-0.046869,-0.027045,8.294988,-0.006620169,0.039252,0.046782,0.026747,9.65E-08,0.020035,1.465229,0.141791
Gaia DR3 4784786192734393600,1,80,72.16048308,72.16048308,-49.16995329,-49.16995329,1.193318,0.304959,53.43484065,-70.35330639,2.909724606,-1.529606664,0.768049044,0.011457743,0.01365126,0.014028756,0.015510798,0.016614448,,,2016,,,,0.000008,2.065,2.065145,2.271275,7923.19,7923.78,8640.55,3.908439,3.91,3.97862,0.191814,0.191814,0.290542,0.334594,0.336765,0.341778,0.345485,0.345718,-0.027172,-0.023477,-0.009883,0.268603,0.282678,1,-8.264427,-0.253972,-0.219453,8.268329,-0.010285258,-0.009034,-0.010733,-0.006125,0.000000018,-0.004608,1.41797,0.140199
Gaia DR3 3297587246041234304,1,81,62.69075698,62.69075698,7.288075552,7.288075552,2.094425,0.074429,62.0886852,-13.54426335,4.011239581,0.022241494,-5.970347457,0.017823206,0.013245006,0.020101333,0.023959262,0.017640308,9.991457939,0.82529968,2016,8159.145996,,,0.000027,1.564145,1.650288,1.815368,8123.89,8801.34,9229.03,4.254354,4.305893,4.354177,-0.50084,-0.230979,-0.086644,0.243799,0.245576,0.246657,0.249372,0.250888,0.230335,0.264383,0.475284,0.579609,0.69489,1,-8.41118,-0.017866,-0.126188,8.411199,-0.00036,0.435952,0.51753,0.294524,0.000000157,0.223006,1.394319,0.135572
Gaia DR3 67299186890270208,1,82,58.34623061,58.34623061,25.64256677,25.64256677,2.110322,0.209496,61.63380155,5.266726613,3.664552769,-0.205512657,-7.746768288,0.033606146,0.020359106,0.035454132,0.043640714,0.027125616,,,2016,7934.153809,,,0.000034,1.467915,1.694973,1.851384,7873.58,8086.23,9022.79,4.129478,4.220776,4.280317,-0.335231,-0.30131,0.081338,0.263824,0.267437,0.271526,0.276095,0.277581,0.182966,0.300526,0.406884,0.696497,0.766525,1,-8.445898,0.058558,-0.099152,8.4461,0.012670398,0.368234,0.439765,0.251335,0.000000107,0.18843,1.347181,0.097117
Gaia DR3 4642093772704100992,1,83,49.03353461,49.03353461,-73.54886804,-73.54886804,0.749679,0.07611,315.0573529,-74.79263252,4.029927949,1.074614332,25.76014098,0.135736108,0.117752947,0.131002635,0.172992587,0.148139432,,,2016,7948.858887,,,0.000115,1.971,2.041,2.08842,7850.46,8695.14,8807.81,3.797,3.826937,3.899089,-0.418584,-0.219524,-0.015503,0.22269,0.228329,0.23787,0.249687,0.262528,-0.045814,0.038118,0.334955,0.348131,0.441396,1,-8.136474,-0.171215,-0.152421,8.138274,0.0013448,0.307972,0.365126,0.207747,0.000000032,0.157379,1.193318,0.091031
Gaia DR3 5183412106158539776,1,84,47.5267518,47.5267518,-3.541305892,-3.541305892,1.869082,0.442668,44.00149985,-20.45724786,2.937038575,0.175628949,6.812498366,0.04051419,0.039062243,0.04894165,0.050163537,0.04488885,20.873848,0.38397494,2016,7056.7954,15.312946,3.0964644,0.00003,1.480048,1.493156,1.787895,6841.31,6885.4,7662.25,3.805555,3.816615,3.888451,-0.52821,-0.435825,-0.019492,0.327352,0.329206,0.341079,0.341899,0.346128,0.056491,0.057879,0.102277,0.470126,0.588012,1,-8.421739,-0.013851,-0.258796,8.42175,0.012888789,0.090883,0.109406,0.062944,0.0000116,0.046462,1.172954,0.07838
Gaia DR3 4618969428264480256,1,85,45.15367158,45.15367158,-81.90210436,-81.90210436,1.820855,0.242701,288.1978897,-71.45264446,3.45805071,-26.9123371,-16.85944798,0.011551882,0.01107499,0.012258021,0.014966779,0.015352853,,,2016,7841.461426,,,0.000141,1.622947,1.831816,1.945193,7608.2,7964.73,8416.64,4.06471,4.124442,4.172381,-0.203119,0.084262,0.278053,0.282617,0.283717,0.286887,0.288424,0.290509,0.026038,0.051812,0.216291,0.362305,0.463698,1,-8.089168,-0.210826,-0.159914,8.091914,-0.003575563,0.196438,0.234153,0.133778,0.000000154,0.100375,1.090128,0.076156
Gaia DR3 5137326935274065280,1,86,31.56595495,31.56595495,-19.12397529,-19.12397529,2.360844,0.39252,21.89058371,-29.82257901,3.19428899,25.46852424,-0.371503834,0.267491013,0.288540989,0.45090133,0.355391353,0.327986449,,,2016,7462.937012,,,0.000113,1.283,1.414276,1.453545,7077.61,7170.16,7304.28,3.960372,4.022814,4.261659,-0.52878,-0.424575,-0.253062,0.244224,0.266065,0.377522,0.404776,0.415692,-0.128694,-0.019892,0.013261,0.088296,0.254344,0.578125,-8.319922,-0.02528,-0.357074,8.319961,0.07752049,0.0119,0.014259,0.008182,0.000000186,0.006077,1.082977,0.07611
Gaia DR3 105728320868135808,1,87,30.8702345,30.8702345,26.53718798,26.53718798,2.262717,0.428137,37.95025954,13.13913522,6.203699717,-14.3790781,-5.425677858,0.07577561,0.07039073,0.08264225,0.10028437,0.10495888,-8.941886,0.58235234,2016,7106.312,24.534424,1.8378841,0.000068,1.56496,1.628619,1.73565,7030.3,7371.49,7583.01,4.102775,4.12515,4.166216,-0.13007,0.092938,0.406037,0.155583,0.15713,0.159991,0.163009,0.165934,-0.078806,-0.055357,0.133434,0.218121,0.362648,1,-8.305473,0.081431,-0.088553,8.305873,-0.005407691,0.11985,0.14357,0.082324,0.0000155,0.061246,0.85875,0.074429
Gaia DR3 505502605482123648,1,88,30.16774181,30.16774181,58.52690454,58.52690454,2.263384,0.325845,52.10724995,42.6985967,6.833103735,39.28245933,-17.05447757,0.011994549,0.014008848,0.022092871,0.018220186,0.024855366,,,2016,7600.154297,,,0.00019,1.57634,1.717012,1.752615,7689.02,7746.28,7921.47,4.186851,4.227911,4.240279,-0.204873,0.100276,0.205899,0.144586,0.144719,0.145634,0.146494,0.146989,-0.053558,-0.043107,0.006672,0.059383,0.106583,1,-8.297078,0.108266,-0.007969,8.297785,-0.006601572,0.006071,0.007228,0.004131,2.49E-08,0.003097,0.749679,0.063475
Gaia DR3 2458519755033679360,1,89,22.81860313,22.81860313,-11.1189796,-11.1189796,1.945185,0.266677,16.76279282,-19.1657409,3.256875898,-8.756474904,-24.43490739,0.12546696,0.067438856,0.13789542,0.17202725,0.07130132,,,2016,7701.7817,,,0.000115,1.645244,1.690567,1.893015,7471.5,7654.06,8216.11,4.018038,4.098921,4.138125,-0.411264,0.075677,0.19325,0.267048,0.28256,0.29747,0.324065,0.348383,-0.033056,-0.015207,0.088208,0.274804,0.434947,1,-8.285879,0.039731,-0.282019,8.285975,0.034944892,0.079876,0.095322,0.054535,0.00000692,0.040787,0.41088,0.019164
Gaia DR3 5034539498772633856,1,90,16.48190886,16.48190886,-26.72897932,-26.72897932,1.736549,0.14744,3.579697266,-30.89403627,4.713472209,-33.4665285,-19.89679382,0.081952304,0.060097262,0.10346549,0.10336525,0.125542656,,,2016,8224.420898,,,0.000173,1.595517,1.77941,1.988711,8225.08,8450.78,8780.79,4.077236,4.165077,4.226211,-0.507992,-0.126513,0.196511,0.199721,0.20477,0.213061,0.221496,0.228901,-0.092273,-0.015119,0.059776,0.166226,0.354044,1,-8.210804,-0.005436,-0.212717,8.210806,-0.00123477,0.055171,0.065269,0.037131,0.000000132,0.028138,0.359615,-0.085556
Gaia DR3 2426233764315367040,1,91,10.04174469,10.04174469,-8.931294997,-8.931294997,2.722212,0.135572,5.652785384,-12.17843356,4.046677935,30.28003179,14.42411746,0.033195697,0.023987109,0.039545167,0.047498357,0.052901093,-24.70811,0.6044819,2016,,15.534533,8.466487,0.000149,1.374396,1.428698,1.478028,8037.8,8248.62,8892.32,4.371768,4.40262,4.43779,-0.700725,-0.510978,-0.417335,0.240718,0.243773,0.246937,0.249934,0.252539,0.038429,0.048323,0.151042,0.333482,0.378147,1,-8.231785,0.07113,-0.234325,8.232092,0.005453348,0.138359,0.164266,0.09363,0.00000825,0.070636,-0.90786,-0.131542
Gaia DR3 2741721583476129664,1,92,2.127156887,2.127156887,4.471842232,4.471842232,1.394319,0.324641,3.730903317,3.257054526,1.905127429,10.41298224,27.91616721,0.11054384,0.076798394,0.116214447,0.136912346,0.094398744,,,2016,7286.920898,,,0.000132,1.67101,1.765685,1.782723,7369.08,7456.85,7659.82,3.780962,3.805381,3.949971,-0.429938,-0.221995,0.076755,0.444617,0.459781,0.536244,0.565698,0.589597,-0.041673,0.055286,0.093488,0.191686,0.415411,1,-8.266878,0.286379,-0.44841,8.271837,0.000549,0.08425,0.100765,0.057731,0.000000222,0.043034,-1.485063,-0.146381
